MatvareID;Matvare;Vann;Kilojoule;Fett;Kolesterol;Karbohydrat;Kostfiber;Protein;Vitamin A;Vitamin D;Vitamin E;Vitamin C
;;g;kJ;g;mg;g;g;g;RAE;Êg;alfa-TE;mg
13.030;Vin, alkoholsvak;93;150;0;0;6.1;0;0;0;0;0;0
13.031;Vin, hvitvin, halvtõrr, 10 vol-% alkohol;88;299;0;0;0.6;0;0.1;0;0;0;0
13.032;Vin, hvitvin, tõrr, 12 vol-% alkohol;89;282;0;0;0.3;0;0.1;0;0;0;0
13.033;Vann, drikkevann, kranvann;100;0;0;0;0;0;0;0;0;0;0
13.034;Kaffe, pulver, tilberedt;99;2;0;0;0;0;0.1;0;0;0;0
13.036;Leskedrikk, kunstig sõtet, drikkeferdig;100;5;0;0;0.3;0;0;0;0;0;1
01.036;Kesam 1 % fett;82;314;1;3;4.3;0;12;11;0;0;0
01.213;Melk syrnet, uspesifisert med smak, Biola;85;255;0.1;0;11.8;0;3;3;0;0;1
01.214;Melk syrnet, bringebër el. jordbërsmak, Biola;85;267;0.1;0;12.5;0;3;3;0;0;1
01.215;Lettmelk, 1,5 % fett, laktosefri;99;195;1.5;4;4.8;0;3.4;14;0.4;0;0
01.216;Sjokolademelk, lettere, 0-2 g tilsatt sukker;91;191;0.7;2;6.2;0;3.5;7;0;0;0
01.217;Ost, gulost, med vitamin D;41;1389;26;70;0.1;0;25;283;3.7;0.5;0
01.218;Ost, gulost, med vitamin D, lett;53;923;10;27;0.5;0;32;151;2.4;0.3;0
01.219;Ost, revet, pizzaost;41;1463;26.8;72;0.6;0;27.1;283;0.1;0.5;0
01.220;Prim, med jern, Sprett;31;1272;8;31;50.4;0;7;95;0;0.1;0
01.221;Yoghurt, frukt, 0.1 % fett;85;181;0.1;0;6.3;0;4.1;2;0;0;1
01.222;Yoghurt, med mÅsli og skogsbër,  Go` Morgen;69;574;3.3;13;21.6;1.2;4.4;30;0;0.1;0
01.223;Yoghurt, naturell, lettere;83;241;1.5;4;6.3;0;4.6;30;0;0.1;0
01.224;Yoghurt, naturell, matyoghurt;80;500;8.1;22;6;0;5.8;104;0;0.2;0
01.225;Krem, pisket, pÜ boks;54;1559;39;105;4.8;0;2;375;0.2;0.9;0
01.226;Kesam 8 fett %;80;483;8;21;4.8;0;6.2;104;0;0.2;0
01.228;Lettmelk, 1,0 % fett;91;175;1;3;4.6;0;3.5;15;0;0;0
01.229;Lettmelk, uspesifisert;90;180;1.2;3;4.7;0;3.3;13;0;0;0
01.230;Lettmelk, ekstra lett, med vit D,  0,5 % fett;91;156;0.5;1;4.6;0;3.5;7;0.4;0;0
01.231;Lettmelk, ekstra lett, med vit D, uspesifisert;91;160;0.7;1;4.6;0;3.3;7;0.4;0;0
01.227;Ekstra lettmelk med vit D og kakaosmak, skolemelk;91;184;0.7;3;5.9;0;3.4;7;0.4;0;0
03.331;Kylling, lÜrklubbe (underlÜr), kjõtt med skinn, rÜ;71;650;8.7;81;0;0;19.3;29;0.2;0.3;0
03.332;Kylling, lÜr (overlÜr og lÜrklubbe), kjõtt uten skinn, rÜ;73;619;8.5;80;0;0;17.9;24;1;1.8;0
03.333;Kylling, overlÜr (lÜr uten lÜrklubbe), kjõtt uten skinn,  rÜ;72;632;8.8;83;0;0;18;20;1.6;0.3;0
03.334;Kylling, lÜrklubbe (underlÜr), kjõtt uten skinn, rÜ;76;458;3.7;77;0;0;18.9;17;0.2;0.3;0
03.335;Kjõttdeig, kylling og kalkun, rÜ;71;656;9;94;0;0;19;21;0.7;0.7;0
03.342;Lam, kotelett og sadel, kjõtt uten fettrand, rÜ;71;609;6.5;51;0;0;21.7;4;0.7;0.7;0
03.343;Lam, fett fra lammekjõtt, rÜ;21;2889;76;54;0;0;4.5;24;0.4;1.4;0
03.344;Storfe, entrecìte, synlig fett skÜret vekk, rÜ;72;592;5.7;38;0;0;22.4;3;0.2;0.4;0
03.345;Storfe, fett fra storfekjõtt, rÜ;17;3011;80;69;0;0;3;25;0.6;1.3;0
03.346;Svin, skinkestek med fettrand, uten svor, rÜ;64;918;16;50;0;0;19.2;6;0.2;0.7;0
03.347;Svin, bogstek, med fettrand, rÜ;64;914;16.1;49;0;0;18.7;8;0.2;0.7;0
03.348;Svin, kjõttdeig, rÜ;71;620;7.1;44;0;0;21;4;0.2;0.8;0
03.349;Svin, 70% skinke, 30% flatbiff, strimlet, rÜ;73;515;3.8;45;0;0;22;3;0.1;0.6;0
03.350;Svin, fettrand, rÜ;15;3050;80.5;60;0;0;4.2;22;0.6;1.3;0
03.351;Reinsdyrskav, rÜ, fryst;72;606;7.5;78;0;0;19.3;8;0.3;0.8;0
03.352;Reinsdyr, kjõtt, rÜ, tõrket;37;1331;17.6;200;0;0;40;21;0.7;0.8;0
03.353;Ribberull, skiver;64;806;13.5;48;0;0;18;6;0.2;0.8;0
03.354;Roastbiff, skiver;71;488;2.4;38;0;0;23.5;1;0,03;0.4;0
03.355;Põlse, salami, dansk type;29;2058;49;85;0.5;0;13.9;6;0.3;0;0
03.356;Põlser, kylling og kalkun, med mindre fett;70;700;10.6;79;5;0;13.1;40;0;1.1;29
05.330;Nudler, med egg, tõrr;9;1646;8.2;30;65.3;3.3;12.1;18;0.3;0.4;0
05.331;Nudler av ris, tõrr;12;1490;0.6;0;82.2;1.6;3.4;0;0;0;0
05.332;Pasta, fullkorn, tõrr;11;1422;2.5;0;60.3;9.6;13.4;0;0;0.8;0
06.100;Ruccolasalat, rÜ;92;117;0.7;0;2;1.6;2.6;119;0;0.4;15
06.101;Sõtpotet, kokt u/salt, med skall;76;348;0.2;0;16.5;3.3;2;818;0;0.7;20
06.102;Tomater soltõrkede,  tõrr;15;1180;3;0;43;12.3;14.1;44;0;0;39
06.103;Tomater soltõrkede, innlagte i olje, avrent;55;799;12.5;2;8.8;12.7;5;54;0;9.1;12
06.104;Linser, grõnne og brune, tõrre;11;1298;2;0;41.6;11.2;25.1;5;0;0.3;0
06.105;Linser, grõnne og brune, kokte med salt;67;457;0.7;0;14.8;3.7;8.8;1;0;0;0
06.106;Wok grõnnsaksblanding, rÜ;89;139;0.2;0;4.7;2.6;1.8;119;0;0.5;51
06.107;Mandler;5;2386;49.2;0;6.3;12.2;21.2;0;0;26.2;0
08.241;Margarin, stekemargarin;17;2977;80;0;0.5;0;0.5;900;7.5;8;0
08.242;Margarin, bordmargarin, 80 % fett;17;2977;80;0;0.5;0;0.5;900;7.5;8;0
08.243;Margarin, bordmargarin, 60 % fett;38;2237;60;0;0.5;0;0.5;900;7.5;8;0
08.244;Margarin, Melange, uten salt og melk, folie;20;2960;80;0;0;0;0;900;8;6;0
08.245;Margarin, Soft Spesial, redusert salt;19;2960;80;0;0;0;0;929;8;25;0
